id,guid,memberid,firstname,lastname,fullname,committeeid,committeename,committee_active,membertypeid,title,memberactive,startdate,enddate,version,lastupdatedutc
3847,0879114D-8CE1-4084-B7F5-F3C36188D1AF,7562,Margaret S.,Chin,Margaret S. Chin,3,Committee on Aging,TRUE,1,Chairperson,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hOg=,2018-01-11 15:10:04
3848,D7991589-B5CC-4555-9CC4-55E7B9BD855D,7742,Diana,Ayala,Diana Ayala,3,Committee on Aging,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hVU=,2018-01-11 15:10:34
3849,FB647542-EA29-4A04-88CF-AA9D4C353305,7629,Chaim M.,Deutsch,Chaim M. Deutsch,3,Committee on Aging,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hVY=,2018-01-11 15:11:44
3850,6DCA54ED-5EEE-4F6A-B949-41159C1E49CF,7744,Ruben,"Diaz, Sr.","Ruben Diaz, Sr.",3,Committee on Aging,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hVc=,2018-01-11 15:12:40
3851,414B764F-15FC-4F7A-8047-0CA22C39490F,7563,Daniel,Dromm,Daniel Dromm,3,Committee on Aging,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-04-09 0:00:00,AAAAAOXMh5U=,2018-01-11 15:13:09
3852,C8A5D85B-0152-445B-B03F-50F9475B72A8,7113,Mathieu,Eugene,Mathieu Eugene,3,Committee on Aging,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hVk=,2018-01-11 15:15:48
3853,F3D706EE-D37A-4E22-A0C0-C9AFA1FE8681,7568,Deborah L.,Rose,Deborah L. Rose,3,Committee on Aging,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hVo=,2018-01-11 15:16:37
3854,D1F5DAB8-651D-453B-A08A-829ACBAAE96A,7641,Mark,Treyger,Mark Treyger,3,Committee on Aging,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hXk=,2018-01-11 15:17:12
3855,D9DE258E-554E-44C9-A54A-A49A7D238C73,7642,Paul A.,Vallone,Paul A. Vallone,3,Committee on Aging,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hVs=,2018-01-11 15:17:51
3863,F6B1DA3A-DE29-42A8-8D0C-BF67A139F015,7637,I. Daneek,Miller,I. Daneek Miller,4,Committee on Civil Service and Labor,TRUE,1,Chairperson,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hTQ=,2018-01-11 19:09:25
3864,89F8DB14-1AB3-4756-9780-27D6B8BE3056,7739,Adrienne,Adams,Adrienne E. Adams,4,Committee on Civil Service and Labor,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hT0=,2018-01-11 19:10:14
3865,AF0D8C6F-38CC-4E98-BE1A-9C7B3CC43B66,7563,Daniel,Dromm,Daniel Dromm,4,Committee on Civil Service and Labor,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hUM=,2018-01-11 19:10:56
3866,C20A47C8-E26D-4347-9488-C5B948FCEEC4,7613,Andy L.,King,Andy L. King,4,Committee on Civil Service and Labor,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-10-29 0:00:00,AAAAAOXsA0M=,2018-01-11 19:11:27
3867,36AFE339-32FA-4ECA-BE29-6DBB33D367A5,7635,Alan N.,Maisel,Alan N. Maisel,4,Committee on Civil Service and Labor,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-06-12 0:00:00,AAAAAOXXExA=,2018-01-11 19:12:03
3868,CF2CC745-84C3-412A-B1B7-09D948FC002A,7510,Eric A.,Ulrich,Eric A. Ulrich,4,Committee on Civil Service and Labor,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hUw=,2018-01-11 19:12:31
3869,E8CF908E-F27A-4311-A350-C00505F06FC8,7571,Jumaane D.,Williams,Jumaane D. Williams,4,Committee on Civil Service and Labor,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-03-19 0:00:00,AAAAAOXI/FE=,2018-01-11 19:13:00
4226,014693E1-8CC8-487B-9EDA-0F73091466BF,7745,Francisco P.,Moya,Francisco P. Moya,4,Committee on Civil Service and Labor,TRUE,3,Committee member,TRUE,2019-04-10 0:00:00,2021-12-31 0:00:00,AAAAAOXMh6U=,2019-04-09 16:09:36
4261,1A2A582D-FCD8-4A4F-97DD-30E5193D0831,7785,Farah,Louis,Farah N. Louis,4,Committee on Civil Service and Labor,TRUE,3,Committee member,TRUE,2019-06-13 0:00:00,2021-12-31 0:00:00,AAAAAOXXE3w=,2019-06-13 17:52:50
4292,D122E9EE-6C76-4277-ADA5-EF45F2F7B226,7639,Helen K.,Rosenthal,Helen K. Rosenthal,4,Committee on Civil Service and Labor,TRUE,3,Committee member,TRUE,2019-10-30 0:00:00,2021-12-31 0:00:00,AAAAAOXsA0U=,2019-10-30 17:04:28
3875,0111A809-851B-4491-8162-752B9C75EAE4,7748,Justin L.,Brannan,Justin L. Brannan,6,Committee on Contracts,TRUE,1,Chairperson,FALSE,2018-01-11 0:00:00,2019-04-09 0:00:00,AAAAAOXMjis=,2018-01-11 19:40:39
3876,A531DF8D-F6B3-4EE5-A706-6EC9EF99C447,7623,Inez D.,Barron,Inez D. Barron,6,Committee on Contracts,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hbY=,2018-01-11 19:41:05
3877,B3223751-2571-48B8-B53B-18E92565708C,430,Bill,Perkins,Bill Perkins,6,Committee on Contracts,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hbo=,2018-01-11 19:41:30
3878,449DDCF4-C6A9-4386-B30E-FE289B18ED24,7639,Helen K.,Rosenthal,Helen K. Rosenthal,6,Committee on Contracts,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hb4=,2018-01-11 19:51:49
3879,7E337BB6-FEF6-4AC6-BE19-B0701ABADD8F,7749,Kalman,Yeger,Kalman Yeger,6,Committee on Contracts,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8hcI=,2018-01-11 19:52:23
4235,BCADA8F5-2F48-4380-BF5D-1AFA2FC9D892,7632,Ben,Kallos,Ben Kallos,6,Committee on Contracts,TRUE,1,Chairperson,TRUE,2019-04-10 0:00:00,2021-12-31 0:00:00,AAAAAOXMuAs=,2019-04-09 18:03:11
3890,B71DFAC6-5634-4D42-9988-01337EC86B4D,7642,Paul A.,Vallone,Paul A. Vallone,7,Committee on Economic Development,TRUE,1,Chairperson,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iUs=,2018-01-11 20:16:10
3891,876F59D7-C750-41A3-9326-509897081B63,7739,Adrienne,Adams,Adrienne E. Adams,7,Committee on Economic Development,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-04-09 0:00:00,AAAAAOXMjnI=,2018-01-11 20:16:36
3892,854A1732-CC50-4D06-ACE4-A7B083663E5F,7623,Inez D.,Barron,Inez D. Barron,7,Committee on Economic Development,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iVM=,2018-01-11 20:16:59
3893,1B490EB0-625E-4643-9F26-DA6915707B6E,7604,Robert E.,"Cornegy, Jr.","Robert E. Cornegy, Jr.",7,Committee on Economic Development,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iVc=,2018-01-11 20:17:23
3894,B3814381-B8A3-4705-A3AD-EF86E01DCF14,7565,Peter A.,Koo,Peter A. Koo,7,Committee on Economic Development,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iVs=,2018-01-11 20:17:47
3895,9080E667-A1DD-4A58-AE73-CF0DB5CCA45B,7566,Brad S.,Lander,Brad S. Lander,7,Committee on Economic Development,TRUE,3,Council member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iV8=,2018-01-11 20:18:21
3896,4209FCE7-EBCF-4771-AF1F-149DE004E320,7634,Mark,Levine,Mark Levine,7,Committee on Economic Development,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-04-09 0:00:00,AAAAAOXMjnQ=,2018-01-11 20:18:51
3897,4685A762-2569-4280-A702-96D3189CBD02,7636,Carlos,Menchaca,Carlos Menchaca,7,Committee on Economic Development,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iWc=,2018-01-11 20:19:51
3898,9E0389B7-F9A4-455E-B512-9F0A84A06A2A,7741,Keith,Powers,Keith Powers,7,Committee on Economic Development,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iWs=,2018-01-11 20:20:18
3899,C7078A5E-03F7-470C-A5C8-953890A1FCE7,7617,Donovan J.,Richards,Donovan J. Richards,7,Committee on Economic Development,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-04-09 0:00:00,AAAAAOXMjnY=,2018-01-11 20:20:43
3900,E62789D1-8207-490F-B8B6-58DBA3DB287C,7740,Carlina,Rivera,Carlina Rivera,7,Committee on Economic Development,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-06-12 0:00:00,AAAAAOXXEwU=,2018-01-11 20:21:07
3901,E3EF127C-8753-4201-AD19-11A8131CD013,7639,Helen K.,Rosenthal,Helen K. Rosenthal,7,Committee on Economic Development,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-04-09 0:00:00,AAAAAOXMjos=,2018-01-11 20:21:37
3902,D23BBEC6-0479-4CA9-ACA6-F37848B412A8,7571,Jumaane D.,Williams,Jumaane D. Williams,7,Committee on Economic Development,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-03-19 0:00:00,AAAAAOXI/FI=,2018-01-11 20:22:04
4238,D29CB2B8-B204-405B-8F53-01FF629024F0,7743,Mark,Gjonaj,Mark Gjonaj,7,Committee on Economic Development,TRUE,3,Council member,TRUE,2019-04-10 0:00:00,2021-12-31 0:00:00,AAAAAOXMjo0=,2019-04-09 18:14:02
4262,7A752D25-83B3-4561-AAD3-F4C12AE83450,7785,Farah,Louis,Farah N. Louis,7,Committee on Economic Development,TRUE,3,Committee member,TRUE,2019-06-13 0:00:00,2021-12-31 0:00:00,AAAAAOXXEwE=,2019-06-13 17:57:06
3903,8B93DD35-12B7-46A3-A145-82272559CC5C,7641,Mark,Treyger,Mark Treyger,9,Committee on Education,TRUE,1,Chairperson,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8icE=,2018-01-11 20:35:04
3904,1A407AE5-08D7-4BA4-A925-5D101CAF4BA9,7747,Alicka,Ampry-Samuel,Alicka Ampry-Samuel,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8icU=,2018-01-11 20:35:29
3905,7E16E8C0-7146-42CB-BACB-9A38C643DB08,7623,Inez D.,Barron,Inez D. Barron,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ick=,2018-01-11 20:35:54
3906,1E7C1777-0938-4F13-971D-E65EB0D7F5A3,7264,Joseph,Borelli,Joseph C. Borelli,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ic0=,2018-01-11 20:36:20
3907,392B9236-5D36-4ECB-AA43-FFE291625978,7748,Justin L.,Brannan,Justin L. Brannan,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8idE=,2018-01-11 20:36:42
3908,453AAF52-30A2-4E3D-B1DE-1C5DEED9213B,7624,Andrew,Cohen,Andrew Cohen,9,Committee on Education,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-04-09 0:00:00,AAAAAOXMjp0=,2018-01-11 20:37:12
3909,B6E0D428-9FB4-4DB5-9DE7-BD6E0784F085,7604,Robert E.,"Cornegy, Jr.","Robert E. Cornegy, Jr.",9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8idk=,2018-01-11 20:37:49
3910,1D260067-C4F1-49DF-8FD8-FF15155602B9,7629,Chaim M.,Deutsch,Chaim M. Deutsch,9,Committee on Education,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-04-09 0:00:00,AAAAAOXMjps=,2018-01-11 20:38:10
3911,1DFCE0B7-A61E-425F-A42D-9F47A16F1721,7563,Daniel,Dromm,Daniel Dromm,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ieE=,2018-01-11 20:38:31
3912,DFF975D1-90D5-4D21-AC3A-2066DD98FD58,7691,Barry,Grodenchik,Barry S. Grodenchik,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ieU=,2018-01-11 20:39:02
3913,E32CFC58-7027-4ED1-B14D-7D6F38D0C7A5,7632,Ben,Kallos,Ben Kallos,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iek=,2018-01-11 20:39:28
3914,BDA0BCF4-8187-4473-87EB-975B91A173C8,7613,Andy L.,King,Andy L. King,9,Committee on Education,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-10-29 0:00:00,AAAAAOXsA/8=,2018-01-11 20:39:57
3915,DC6EB458-A959-408A-83C8-C26D931EB4D7,7566,Brad S.,Lander,Brad S. Lander,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ifE=,2018-01-11 20:40:24
3916,776A763E-5E4B-41E1-95D3-35363BA2E3B4,7567,Stephen T.,Levin,Stephen T. Levin,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ifU=,2018-01-11 20:40:58
3917,DAD8DFF0-603B-4B48-B988-EE836F9B547E,7634,Mark,Levine,Mark Levine,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ifk=,2018-01-11 20:41:21
3918,AFC0218F-0E1D-49C0-A086-1478F5B4ACC5,7541,Ydanis A.,Rodriguez,Ydanis A. Rodriguez,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8if0=,2018-01-11 20:41:54
3919,1AAC692D-E123-4CDF-A018-1B17AED74173,7568,Deborah L.,Rose,Deborah L. Rose,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8igI=,2018-01-11 20:42:29
3920,F8457880-9D55-43E6-86FB-80F95FC919B3,7714,Rafael,"Salamanca, Jr.","Rafael Salamanca, Jr.",9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8igY=,2018-01-11 20:43:01
3921,C8030AF5-32E8-4DE0-B223-B91EC7F66CA7,7510,Eric A.,Ulrich,Eric A. Ulrich,9,Committee on Education,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8igo=,2018-01-11 20:43:27
4263,717ACFE8-4749-4482-ABAD-D298088EBC24,7785,Farah,Louis,Farah N. Louis,9,Committee on Education,TRUE,3,Committee member,TRUE,2019-06-13 0:00:00,2021-12-31 0:00:00,AAAAAOXXE1A=,2019-06-13 18:00:08
4295,CF270EB1-C7F1-47E9-8413-DE116762D2E9,7637,I. Daneek,Miller,I. Daneek Miller,9,Committee on Education,TRUE,3,Committee member,TRUE,2019-10-30 0:00:00,2021-12-31 0:00:00,AAAAAOXsBAY=,2019-10-30 17:26:36
3922,83430E59-D2F3-448C-BF32-364129BFADC7,7627,Costa G.,Constantinides,Costa G. Constantinides,10,Committee on Environmental Protection,TRUE,1,Chairperson,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ihw=,2018-01-11 20:48:32
3923,42859BAC-71BD-43E9-AA4A-3054A333194D,7630,Rafael L.,"Espinal, Jr.","Rafael L. Espinal, Jr.",10,Committee on Environmental Protection,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iiA=,2018-01-11 20:49:05
3924,52568621-CB21-48DB-91BB-4F87B18C08B7,7567,Stephen T.,Levin,Stephen T. Levin,10,Committee on Environmental Protection,TRUE,3,Council member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iiQ=,2018-01-11 20:49:36
3925,EC79EC11-8899-4C00-9DB9-5138D9AA3A25,7636,Carlos,Menchaca,Carlos Menchaca,10,Committee on Environmental Protection,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iig=,2018-01-11 20:50:04
3926,BF5643CA-2F63-4093-96D8-F0C453922E97,7617,Donovan J.,Richards,Donovan J. Richards,10,Committee on Environmental Protection,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iiw=,2018-01-11 20:50:27
3927,40037E21-F5A0-4D9E-98D5-EB76D22BE682,7510,Eric A.,Ulrich,Eric A. Ulrich,10,Committee on Environmental Protection,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ijA=,2018-01-11 20:50:52
3928,65DF0A03-EF0F-45F0-9573-F28A2500EBA5,7749,Kalman,Yeger,Kalman Yeger,10,Committee on Environmental Protection,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ijQ=,2018-01-11 20:51:19
3929,45A187DE-05FE-47F2-A31C-8861BFA5DC1A,7563,Daniel,Dromm,Daniel Dromm,11,Committee on Finance,TRUE,3,Chairperson,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ij8=,2018-01-11 20:56:56
3930,3A43B989-756C-4C4A-9A57-B04D84CAB1AE,7739,Adrienne,Adams,Adrienne E. Adams,11,Committee on Finance,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8ikM=,2018-01-11 20:57:24
3931,055DAC4F-C1FC-4E5A-B646-F315DA0A1EEE,7624,Andrew,Cohen,Andrew Cohen,11,Committee on Finance,TRUE,3,Committee member,FALSE,2018-01-11 0:00:00,2019-06-13 0:00:00,AAAAAOXXE1o=,2018-01-11 20:57:51
3932,A6636DD6-BD68-458E-98FF-76D6E0F2F42B,7604,Robert E.,"Cornegy, Jr.","Robert E. Cornegy, Jr.",11,Committee on Finance,TRUE,3,Committee member,TRUE,2018-01-11 0:00:00,2021-12-31 0:00:00,AAAAAOV8iks=,2018-01-11 20:58:18
